9691	9692	9700	9764	9824	9891	10021	10276	10333	10333
10215	10279	10210	10212	10206	10330	10084	10139	10141	9952
10141	10261	10078	10077	10207	10272	10269	10146	10269	10210
9824	9952	9893	9884	10014	10202	10141	9766	9971	10144
9762	9892	9821	9700	9845	9959	9954	9825	9819	9700
9633	9696	9446	9633	9714	9637	9826	9568	9655	9821
9502	9761	9565	9574	9615	9756	9699	9445	9585	9818
9323	9765	9503	9375	9618	9824	9820	9693	9758	9572
9448	9695	9892	9566	9570	9690	9624	9561	9568	9689
9564	9678	9616	9598	9571	9626	9603	9594	9497	9563
9693	9567	9699	9820	9566	9564	9951	10076	9759	9574
10021	10083	10269	10150	10268	10276	10297	10150	10215	10272
10141	10268	10013	10078	10200	10141	10142	9828	10071	10080
9950	10078	9698	9697	10005	10026	10019	9948	10010	9955
9884	10005	9948	9754	9945	9439	9888	9641	9827	9874
9818	9826	9818	9737	9950	10190	9766	9952	9831	9894
