3218	3220	2775	2686	2424	2417	2287	2163	2070	1989
2996	2683	2579	2416	2286	2221	2166	1998	1998	1863
2578	2412	2281	2225	2135	2045	1912	1845	1739	1632
2498	2309	2079	1989	1862	1699	1655	1589	1547	1476
2309	2177	2015	1826	1713	1626	1561	1497	1407	1346
2138	2011	1829	1761	1633	1558	1473	1382	1311	1305
2017	1891	1802	1697	1564	1507	1376	1344	1304	1246
1954	1821	1698	1627	1539	1440	1373	1314	1240	1221
1901	1770	1637	1578	1558	1445	1369	1371	1367	1341
1961	1772	1696	1631	1476	1496	1375	1433	1372	1431
1994	1873	1696	1628	1615	1681	1622	1755	1757	1827
2130	1962	1930	1945	2013	2080	2014	2018	2084	2136
2373	2317	2372	2442	2560	2338	2527	2402	2326	2282
2782	2826	2783	2904	2820	2851	2776	2647	2575	2529
3288	3167	3166	2905	3171	3223	2979	2974	2914	2913
3862	3916	4115	3993	3808	3620	3611	3423	3541	3479
