-2592	-2528	-2586	-2590	-2593	-2596	-2650	-2653	-2714	-2707
-2591	-2521	-2256	-2138	-2142	-2133	-2136	-2213	-2136	-2067
-2522	-2657	-2705	-2753	-2764	-2659	-2730	-2764	-2782	-2745
-2584	-2701	-2717	-2746	-2716	-2744	-2777	-2807	-2788	-2752
-2717	-2715	-2723	-2717	-2656	-2677	-2711	-2762	-2726	-2681
-2717	-2662	-2693	-2718	-2723	-2717	-2603	-2812	-2781	-2747
-2646	-2713	-2732	-2743	-2719	-2749	-2786	-2804	-2778	-2765
-2653	-2713	-2786	-2749	-2779	-2790	-2798	-2819	-2783	-2764
-2650	-2729	-2742	-2757	-2729	-2763	-2820	-2788	-2906	-2838
-2773	-2782	-2786	-2808	-2780	-2814	-2854	-2822	-2782	-2876
-2721	-2774	-2789	-2838	-2780	-2824	-2845	-2856	-2844	-2854
-2778	-2787	-2845	-2842	-2783	-2843	-2913	-2882	-2908	-2917
-2847	-2785	-2850	-2804	-2786	-2875	-2914	-2893	-2906	-2917
-2778	-2831	-2840	-2821	-2785	-2856	-2915	-2938	-2851	-2945
-2843	-2792	-2861	-2921	-2779	-2951	-2924	-2928	-2909	-2907
-2774	-2778	-2778	-2866	-2785	-2901	-2844	-2923	-2906	-2909
