4005	3843	3764	3530	3393	3153	3083	3024	2864	2815
3710	3574	3286	3339	3114	3079	2998	2875	2685	2659
3482	3281	3115	2953	2955	2742	2743	2621	2486	2493
3304	3104	2829	2712	2639	2629	2450	2455	2384	2289
3059	2848	2705	2565	2497	2392	2317	2312	2189	2135
2845	2696	2540	2478	2392	2320	2204	2194	2123	2038
2784	2633	2526	2400	2332	2245	2168	2138	2052	2004
2661	2547	2451	2365	2272	2207	2115	2075	1983	2008
2651	2536	2445	2344	2276	2149	2085	2074	2024	2017
2701	2542	2419	2343	2310	2266	2356	2334	2205	2283
2756	2600	2529	2383	2440	2462	2514	2522	2411	2464
2905	2730	2648	2704	2913	2845	2917	2788	2921	2846
3335	3287	3418	3359	3230	3177	3294	3169	3104	3104
3808	3744	3800	3850	3807	3679	3423	3428	3420	3296
4508	4241	4194	4133	4061	4064	4001	3812	3747	3682
4880	4819	4758	4832	4638	4577	4454	4443	4321	4320
